taskType,taskId,init,gpsTagId,notificationType,notificationTs,reminderCount,notficationAcceptTs,acceptanceTime,taskAcceptTs,taskAcceptTime,taskComp,taskCompTs,taskCompTime,responseTime,receptRating 
annotate,2,user,0,null,0,0,0,0,1281535391564,1281535391,0,0,-1281535391,0,0
newImages,4,sys,0,null,1281535410481,0,0,-1281535410,0,0,0,0,0,-1281535410,0
photo_story,3,user,0,null,0,0,0,0,1281535441235,1281535441,0,1281535836558,395,1281535836,0
newImages,4,sys,0,null,1281535628938,0,0,-1281535628,0,0,0,0,0,-1281535628,0
newImages,4,sys,0,null,1281535781068,0,0,-1281535781,0,0,0,0,0,-1281535781,0
annotate,2,user,0,null,0,0,0,0,1281535796915,1281535796,0,0,-1281535796,0,0
annotate,2,user,0,null,0,0,0,0,1281535818970,1281535818,0,0,-1281535818,0,0
annotate,2,user,0,null,0,0,0,0,1281535839947,1281535839,0,0,-1281535839,0,0
annotate,2,user,0,null,0,0,0,0,1281535875136,1281535875,0,0,-1281535875,0,0
annotate,2,user,0,null,0,0,0,0,1281535942302,1281535942,0,0,-1281535942,0,0
annotate,2,user,0,null,0,0,0,0,1281535967934,1281535967,0,0,-1281535967,0,0
annotate,2,user,0,null,0,0,0,0,1281536025993,1281536025,0,0,-1281536025,0,0
annotate,2,user,0,null,0,0,0,0,1281536048603,1281536048,0,1281536112895,64,1281536112,0
annotate,2,user,0,null,0,0,0,0,1281536131959,1281536131,0,0,-1281536131,0,0
annotate,2,user,0,null,0,0,0,0,1281536153423,1281536153,0,1281536158900,5,1281536158,0
annotate,2,user,0,null,0,0,0,0,1281540154666,1281540154,0,0,-1281540154,0,0
photo_story,3,user,0,null,0,0,0,0,1281540166685,1281540166,0,0,-1281540166,0,0
